song_id	genius_url	artist_name	song_name
31267	Dj-envy-text-ur-number-lyrics	Dj envy	text ur number
31268	Baauer-promises-lyrics	Baauer	promises
31307	Monty-right-back-lyrics	Monty	right back
31321	Method-man-and-redman-da-rockwilder-lyrics	Method man and redman	da rockwilder
31322	Cl-lifted-lyrics	Cl	lifted
31324	Method-man-and-redman-how-high-lyrics	Method man and redman	how high
31326	Method-man-and-redman-you-lyrics	Method man and redman	you
31330	Method-man-and-redman-blackout-lyrics	Method man and redman	blackout
31333	Method-man-straight-gutta-lyrics	Method man	straight gutta
31334	Method-man-say-lyrics	Method man	say
31335	Method-man-break-ups-2-make-ups-lyrics	Method man	break ups 2 make ups
31336	Doctor-p-the-pit-lyrics	Doctor p	the pit
31338	Mobb-deep-extortion-lyrics	Mobb deep	extortion
31341	Cypress-hill-cisco-kid-lyrics	Cypress hill	cisco kid
31342	Czarface-nightcrawler-lyrics	Czarface	nightcrawler
31343	Method-man-and-redman-mi-casa-lyrics	Method man and redman	mi casa
31344	Method-man-judgement-day-lyrics	Method man	judgement day
31345	Method-man-sweet-love-lyrics	Method man	sweet love
31347	Redman-do-what-ya-feel-lyrics	Redman	do what ya feel
31348	Method-man-got-to-have-it-lyrics	Method man	got to have it
31349	Method-man-uh-huh-lyrics	Method man	uh huh
31350	Jayo-felony-whatcha-gonna-do-lyrics	Jayo felony	whatcha gonna do
31351	Method-man-and-redman-dis-iz-4-all-my-smokers-lyrics	Method man and redman	dis iz 4 all my smokers
31354	Epmd-symphony-2000-lyrics	Epmd	symphony 2000
31355	Method-man-the-meth-lab-lyrics	Method man	the meth lab
31356	Method-man-dirty-mef-lyrics	Method man	dirty mef
31358	Method-man-and-redman-tear-it-off-lyrics	Method man and redman	tear it off
31360	Method-man-and-redman-mrs-international-lyrics	Method man and redman	mrs international
31361	Method-man-and-redman-4-seasons-lyrics	Method man and redman	4 seasons
31363	Cappadonna-milk-the-cow-lyrics	Cappadonna	milk the cow
31364	Genetikk-lets-go-lyrics	Genetikk	lets go
31365	Method-man-is-it-me-lyrics	Method man	is it me
31366	Method-man-big-dogs-lyrics	Method man	big dogs
31367	Dmx-top-shotter-lyrics	Dmx	top shotter
